Home Team,Away Team,Score,Date
Newport County,Plymouth Argyle,0 - 0,2016-12-21
Eibar,Sporting Gijón,3 - 1,2016-12-21
Sevilla FC,SD Formentera,9 - 1,2016-12-21
Valencia,Leganes,1 - 1,2016-12-21
Osasuna,Granada,2 - 0,2016-12-21
Deportivo La Coruña,Real Betis,3 - 1,2016-12-21
Barcelona,Hercules,1 - 0,2016-12-21
Bayern Munich,RB Leipzig,3 - 0,2016-12-21
FC Cologne,Bayer Leverkusen,1 - 1,2016-12-21
FC Ingolstadt 04,SC Freiburg,1 - 2,2016-12-21
Hertha Berlin,SV Darmstadt 98,2 - 0,2016-12-21
TSG Hoffenheim,Werder Bremen,1 - 1,2016-12-21
Internazionale,Lazio,3 - 0,2016-12-21
AS Monaco,Caen,2 - 1,2016-12-21
Bastia,Marseille,1 - 2,2016-12-21
Bordeaux,Nice,0 - 0,2016-12-21
Dijon FCO,Toulouse,2 - 0,2016-12-21
Lille,Stade Rennes,1 - 1,2016-12-21
Lyon,Angers,2 - 0,2016-12-21
Metz,Guingamp,2 - 2,2016-12-21
Nantes,Montpellier,1 - 0,2016-12-21
Paris Saint-Germain ,Lorient,5 - 0,2016-12-21
St Etienne,AS Nancy Lorraine,0 - 0,2016-12-21
Benfica,Rio Ave,2 - 0,2016-12-21
Eupen,Club Brugge,1 - 4,2016-12-21
KV Kortrijk,KV Oostende,0 - 2,2016-12-21
Standard Liege,KSC Lokeren,1 - 1,2016-12-21
Zulte-Waregem,Racing Genk,1 - 0,2016-12-21
Southampton U23,Reading U23,(3) 1 - (4) 1,2016-12-21
Millwall,Charlton Athletic,3 - 1,2016-12-21
Sport Boys Warnes,Bolívar,0 - 0,2016-12-21
The Strongest,San José,0 - 0,2016-12-21
Blooming,Real Potosí, - ,2016-12-21
Nacional Potosí,Oriente Petrolero, - ,2016-12-21
Universitario de Sucre,Guabirá, - ,2016-12-21
Golden Arrows,Kaizer Chiefs,0 - 2,2016-12-21
Ajax Cape Town,Chippa United,1 - 0,2016-12-21
Free State Stars,Cape Town City FC,1 - 0,2016-12-21
SuperSport United,Polokwane City FC,2 - 1,2016-12-21
