Home Team,Away Team,Score,Date
Adanaspor,Istanbul Buyuksehir BSK,1 - 1,2016-12-24
Besiktas,Gaziantepspor,1 - 0,2016-12-24
Hamilton Academical,Celtic,0 - 3,2016-12-24
Rangers,Inverness Caledonian Thistle,1 - 0,2016-12-24
Ayr United,Dumbarton,4 - 4,2016-12-24
Dundee United,St Mirren,2 - 1,2016-12-24
Greenock Morton,Queen of the South,1 - 0,2016-12-24
Hibernian,Raith Rovers,1 - 1,2016-12-24
Albion Rovers,East Fife, - ,2016-12-24
Alloa Athletic,Brechin City,1 - 2,2016-12-24
Stranraer,Airdrieonians,1 - 2,2016-12-24
Livingston,Queen's Park,1 - 2,2016-12-24
Annan Athletic,Berwick Rangers,3 - 1,2016-12-24
Cowdenbeath,Arbroath,0 - 2,2016-12-24
Montrose,Stirling Albion,2 - 2,2016-12-24
Pisa,Spezia,0 - 0,2016-12-24
Ascoli,Bari,1 - 1,2016-12-24
Brescia,Pro Vercelli,2 - 1,2016-12-24
Carpi,Hellas Verona,1 - 1,2016-12-24
Cesena,Trapani,3 - 1,2016-12-24
Frosinone,Benevento,3 - 2,2016-12-24
Perugia,Latina,1 - 1,2016-12-24
Spal,Ternana,4 - 0,2016-12-24
US Avellino,Salernitana,3 - 2,2016-12-24
Vicenza,Cittadella,2 - 0,2016-12-24
Virtus Entella,Novara,4 - 1,2016-12-24
Bnei Yehuda,Hapoel Haifa,1 - 1,2016-12-24
Hapoel Ashkelon,Hapoel Kfar Saba,0 - 0,2016-12-24
Maccabi Tel-Aviv,Moadon Sport Ashdod,1 - 0,2016-12-24
Hapoel Kiryat Shmona,Beitar Jerusalem,2 - 0,2016-12-24
Bolívar,The Strongest,1 - 2,2016-12-24
